conta,descricao,origem,akd_debito,akd_credito,akd_abs_saldo,ct2_debito,ct2_credito,ct2_abs_saldo,ct2_max,ct2_min,diff_abs_saldo,diff_ct2_debito,diff_ct2_credito,diff_ct2_max,diff_ct2_min,melhor_formula_ct2
1112070034,EA DUBAI_EMIRATES NBD 1015256007101 A,somente_ct2,0.00,0.00,0.00,6752817.15,6478673.01,274144.14,6752817.15,6478673.01,274144.14,6752817.15,6478673.01,6752817.15,6478673.01,ct2_abs_saldo
1112070035,EA PEQUIM CONTA CORRENTE CITIC 2 #3,somente_ct2,0.00,0.00,0.00,560604.32,574462.17,13857.85,574462.17,560604.32,13857.85,560604.32,574462.17,574462.17,560604.32,ct2_abs_saldo
1112070037,EA JERUSALEM_BANK LEUMI 414400/14 095 US,somente_ct2,0.00,0.00,0.00,16255.35,7305.65,8949.70,16255.35,7305.65,8949.70,16255.35,7305.65,16255.35,7305.65,ct2_credito
1112070038,RAIFFEISEN RUS 40807756300000000027 CHF,somente_ct2,0.00,0.00,0.00,1737790.24,1737790.25,0.01,1737790.25,1737790.24,0.01,1737790.24,1737790.25,1737790.25,1737790.24,ct2_abs_saldo
1112079997,BB TOQUIO CC 480400-1,somente_ct2,0.00,0.00,0.00,2223840.78,370187.27,1853653.51,2223840.78,370187.27,1853653.51,2223840.78,370187.27,2223840.78,370187.27,ct2_credito
1112079999,BANCO DO BRASIL - NEW YORK BRANCH (686-6,somente_ct2,0.00,0.00,0.00,13554.75,76983.42,63428.67,76983.42,13554.75,63428.67,13554.75,76983.42,76983.42,13554.75,ct2_debito
1112080003,TRANSFERENCIAS FINANCEIRAS FILIAIS,somente_ct2,0.00,0.00,0.00,692192.82,692192.83,0.01,692192.83,692192.82,0.01,692192.82,692192.83,692192.83,692192.82,ct2_abs_saldo
1112100001,XP INVESTIMENTOS - CC 1565267,somente_ct2,0.00,0.00,0.00,38000.00,37462.26,537.74,38000.00,37462.26,537.74,38000.00,37462.26,38000.00,37462.26,ct2_abs_saldo
1114010001,BB/CP 431589-8P CUSTEIO,somente_ct2,0.00,0.00,0.00,78906.05,0.00,78906.05,78906.05,0.00,78906.05,78906.05,0.00,78906.05,0.00,ct2_credito
1114010002,BB/CP 431589-8 RENDE FACIL,somente_ct2,0.00,0.00,0.00,26668506.23,26717589.93,49083.70,26717589.93,26668506.23,49083.70,26668506.23,26717589.93,26717589.93,26668506.23,ct2_abs_saldo
