tipo_grupo;recno_ancora;pares_no_grupo;pares_selecionados;pares_bloqueados;score_maximo;assinatura;evidencia;akd_recnos;ct2_recnos
ct2_Nx1;2109933;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414213|2414214|2414215;2109933
ct2_Nx1;2110197;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2415757|2415758|2415759;2110197
ct2_Nx1;2110441;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2419178|2419179|2419180;2110441
ct2_Nx1;2112461;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424549|2424550|2424551;2112461
ct2_Nx1;2112463;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424553|2424554|2424555;2112463
ct2_Nx1;2112421;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424569|2424570|2424571;2112421
ct2_Nx1;2112445;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424617|2424618|2424619;2112445
ct2_Nx1;2112449;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424625|2424626|2424627;2112449
ct2_Nx1;2112457;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424641|2424642|2424643;2112457
ct2_Nx1;2112566;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2425689|2425690|2425691;2112566
