key;akd_rows;ct2_rows;akd_total;ct2_total;status
0000321763;7;6;281593.25;346069.70;ambiguo
0000321764;1;4;1385.11;5540.44;ambiguo
0000321765;3;4;49822.62;66430.16;ambiguo
0000321766;3;4;8944.29;11925.72;ambiguo
0000321767;3;8;4504.50;5923.42;ambiguo
0000321768;3;4;5715.63;7620.84;ambiguo
0000321769;1;4;610749.10;2442996.40;ambiguo
0000321770;1;4;14000.00;56000.00;ambiguo
0000321771;3;4;60897.39;81196.52;ambiguo
0000321772;1;4;22250.00;89000.00;ambiguo
0000321773;3;4;60897.39;81196.52;ambiguo
0000321774;3;17;183584.40;733371.36;ambiguo
0000321775;3;5;461020.29;612267.30;ambiguo
0000321777;3;5;56996.43;75695.26;ambiguo
0000321778;3;5;31635.03;42013.54;ambiguo
0000321779;3;5;8390.40;11143.04;ambiguo
0000321780;3;5;137112.36;182094.84;ambiguo
0000321782;3;4;2716.53;3622.04;ambiguo
0000321783;4;4;1151760.05;1486142.00;ambiguo
0000321785;3;4;205807.14;274409.52;ambiguo
0000321787;3;8;31954.80;42020.57;ambiguo
0000321789;3;4;144847.83;193130.44;ambiguo
0000321790;3;4;9718598.61;12958131.48;ambiguo
0000321792;4;11;270232.04;479207.20;ambiguo
0000321793;3;4;459.00;612.00;ambiguo
0000321794;3;7;810.00;1080.00;ambiguo
0000321795;7;6;318980.16;392253.34;ambiguo
0000321796;7;6;318980.16;392253.34;ambiguo
0000321797;7;6;318980.16;392253.34;ambiguo
0000321798;7;6;140351.26;172591.46;ambiguo
0000321799;4;11;83190.79;172405.00;ambiguo
0000321800;7;6;318980.16;392253.34;ambiguo
0000321801;7;6;318980.16;392253.34;ambiguo
0000321802;7;6;106326.73;130751.12;ambiguo
0000321803;7;6;316853.63;389638.32;ambiguo
0000321804;7;6;744287.02;915257.78;ambiguo
0000321805;7;6;456516.87;547150.62;ambiguo
0000321806;1;4;717.69;2870.76;ambiguo
0000321807;1;4;124.55;498.20;ambiguo
0000321809;7;6;7594.53;9108.52;ambiguo
0000321811;7;6;1212.72;1453.48;ambiguo
0000321812;10;6;122974.65;143758.24;ambiguo
0000321814;7;6;23462.40;28853.44;ambiguo
0000321815;1;4;350.00;1400.00;ambiguo
0000321816;7;6;23462.40;28853.44;ambiguo
0000321817;7;6;15431.06;18976.70;ambiguo
0000321818;7;6;30153.02;36139.40;ambiguo
0000321819;7;6;5143.68;6325.56;ambiguo
0000321820;7;6;10287.35;12651.12;ambiguo
0000321821;3;5;183584.40;243812.96;ambiguo
0000321822;3;5;125299.47;166406.48;ambiguo
0000321823;3;5;57002.85;75703.78;ambiguo
0000321824;3;5;40960.53;54398.46;ambiguo
0000321825;3;4;57491.10;76654.80;ambiguo
0000321826;3;5;30469.65;40465.84;ambiguo
0000321827;3;5;539709.45;716772.02;ambiguo
0000321828;3;5;970987.89;1289540.06;ambiguo
0000321829;3;5;227998.59;302798.12;ambiguo
0000321835;3;4;12309.00;16412.00;ambiguo
0000321836;3;4;10950.00;14600.00;ambiguo
0000321837;3;8;10138.71;13332.41;ambiguo
0000321838;3;8;254948.28;335256.99;ambiguo
0000321839;3;4;128802.03;171736.04;ambiguo
0000321840;7;10;283486.82;652433.20;ambiguo
0000321841;3;4;111334.77;148446.36;ambiguo
0000321844;3;5;225531.90;299522.18;ambiguo
0000321845;3;5;54011.22;71730.68;ambiguo
0000321846;1;4;2271.00;9084.00;ambiguo
0000321847;3;7;33600.00;44632.01;ambiguo
0000321848;3;7;45360.00;60253.20;ambiguo
0000321849;7;4;114038.33;142325.56;ambiguo
0000321850;3;4;3600.00;4800.00;ambiguo
0000321851;3;4;5400.00;7200.00;ambiguo
0000321852;3;4;15000.00;20000.00;ambiguo
0000321855;3;4;1694.58;2259.44;ambiguo
0000321856;3;5;6249.60;8299.90;ambiguo
0000321857;3;5;6976.80;9265.68;ambiguo
0000321858;3;5;2144.91;2848.60;ambiguo
0000321859;3;5;4809.39;6387.20;ambiguo
0000321860;3;5;701738.37;931957.80;ambiguo
0000321861;3;4;106188.00;141584.00;ambiguo
0000321862;3;4;159282.03;212376.04;ambiguo
0000321863;1;4;498.24;1992.96;ambiguo
0000321864;7;6;9182.02;11008.06;ambiguo
0000321866;6;6;504040.95;621650.50;ambiguo
0000321867;3;5;101400.00;133848.00;ambiguo
0000321870;3;4;38513.01;51350.68;ambiguo
0000321871;3;4;4425.00;5900.00;ambiguo
0000321872;1;4;215.95;863.80;ambiguo
0000321873;3;7;225000.00;297750.00;ambiguo
0000321874;4;4;531825.89;686226.96;ambiguo
0000321875;3;4;4500.00;6000.00;ambiguo
0000321876;3;10;300000.00;800000.00;ambiguo
0000321877;3;4;141666.66;188888.88;ambiguo
0000321878;3;4;85963.41;114617.88;ambiguo
0000321879;3;4;92305.44;123073.92;ambiguo
0000321880;3;4;25760.46;34347.28;ambiguo
0000321881;3;4;300000.00;400000.00;ambiguo
0000321882;7;6;30627.53;36718.46;ambiguo
0000321883;3;5;11433.00;15090.80;ambiguo
0000321884;7;6;30627.53;36718.46;ambiguo
0000321885;1;7;4000.00;15940.00;ambiguo
0000321886;7;6;31881.61;39196.38;ambiguo
0000321887;3;4;29489.52;39319.36;ambiguo
0000321888;3;4;29786.40;39715.20;ambiguo
0000321889;3;4;30653.40;40871.20;ambiguo
0000321890;3;4;19492.41;25989.88;ambiguo
