"CT5_LANPAD","CT5_SEQUEN","CT5_ORIGEM","CT5_DESC","CT5_XDOC"
"630","001","""LP: 630-001""                                                                                       ",DOCUMENTO DE SAIDA - EXCLUSÃO DE DOCUMENTO ITENS RECEITA (FISCAL)                                   ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"630","002","""LP: 630-002""                                                                                       ",DOCUMENTO DE SAIDA - EXCLUSÃO DE DOCUMENTO ITENS COFINS S/FATURAMENTO (FISCAL)                      ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"630","003","""LP: 630-003""                                                                                       ",DOCUMENTO DE SAIDA - EXCLUSÃO DE DOCUMENTO ITENS ISS S/FATURAMENTO (FISCAL)                         ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"630","004","""LP: 630-004""                                                                                       ",DOCUMENTO DE SAIDA - EXCLUSÃO DE DOCUMENTO ITENS CLIENTE (FISCAL)                                   ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"630","007","""LP: 630-007""                                                                                       ",DOCUMENTO DE SAIDA - EXCLUSAO DE DOCUMENTO ITENS RECEITA - CURSO (FISCAL)                           ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"630","008","""LP: 630-008""                                                                                       ",DOCUMENTO DE SAIDA - EXCLUSAO DE DOCUMENTO ITENS RECEITA - CURSOS (FISCAL                           ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"650","001","""LP: 650-001""                                                                                       ",DOCUMENTO DE ENTRADA ITENS - ESTOQUE/DESPESAS (FISCAL)                                              ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"650","002","""LP: 650-002""                                                                                       ",DOCUMENTO DE ENTRADA ITENS - IMOBILIZADO (FISCAL)                                                   ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"650","004","""LP: 650-004""                                                                                       ",DOCUMENTO DE ENTRADA ITENS - RETENCAO INSS (FISCAL)                                                 ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"650","005","""LP: 650-005""                                                                                       ",DOCUMENTO DE ENTRADA ITENS - RETENCAO ISS (FISCAL)                                                  ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"650","010","""LP: 650-010""                                                                                       ",DOCUMENTO DE ENTRADA ITENS - FORNECEDOR (FISCAL)                                                    ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"650","011","""LP: 650-010""                                                                                       ",DOCUMENTO DE ENTRADA ITENS - DESCONTO FINANCEIRO                                                    ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"650","012","""LP: 650-012""                                                                                       ",DOCUMENTO DE ENTRADA ITENS - DOAÇÃO BENS                                                            ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"655","001","""LP: 655-001""                                                                                       ",EXCLUSAO DOCUMENTO DE ENTRADA ITENS - ESTOQUE/DESPESAS (FISCAL)                                     ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"655","002","""LP: 655-002""                                                                                       ",EXCLUSAO DOCUMENTO DE ENTRADA ITENS - IMOBILIZADO (FISCAL)                                          ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"655","004","""LP: 655-004""                                                                                       ",EXCLUSAO DOCUMENTO DE ENTRADA ITENS - RETENCAO INSS (FISCAL)                                        ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"655","005","""LP: 655-005""                                                                                       ",EXCLUSAO DOCUMENTO DE ENTRADA ITENS - RETENCAO ISS (FISCAL)                                         ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"655","010","""LP: 655-010""                                                                                       ",EXCLUSAO DOCUMENTO DE ENTRADA ITENS - FORNECEDOR (FISCAL)                                           ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"655","012","""LP: 655-012""                                                                                       ",EXCLUSAO DOCUMENTO DE ENTRADA ITENS - DOAÇÃO BENS                                                   ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"660","001","""LP: 660-001""                                                                                       ",DOCUMENTO ENTRADA TOTAL PAGTO INTERNACIONAL CIDE (FISCAL)                                           ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"660","004","""LP: 660-004""                                                                                       ",DOCUMENTO ENTRADA TOTAL PAGTO INTERNACIONAL IRRF (FISCAL)                                           ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"660","005","""LP: 660-005""                                                                                       ",DOCUMENTO ENTRADA TOTAL PAGTO INTERNACIONAL ISS (FISCAL)                                            ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"660","006","""LP: 660-006""                                                                                       ",DOCUMENTO ENTRADA TOTAL PAGTO INTERNACIONAL COFINS (FISCAL)                                         ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"660","007","""LP: 660-007""                                                                                       ",DOCUMENTO ENTRADA TOTAL PAGTO INTERNACIONAL PIS (FISCAL)                                            ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"665","001","""LP: 665-001""                                                                                       ",CANCELAMENTO DOCUMENTO ENTRADA TOTAL PAGTO INTERNACIONAL CIDE (FISCAL)                              ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"665","004","""LP: 665-004""                                                                                       ",CANCELAMENTO DOCUMENTO ENTRADA TOTAL PAGTO INTERNACIONAL IRRF (FISCAL)                              ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"665","005","""LP: 665-005""                                                                                       ",CANCELAMENTO DOCUMENTO ENTRADA TOTAL PAGTO INTERNACIONAL ISS (FISCAL)                               ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"665","006","""LP: 665-006""                                                                                       ",CANCELAMENTO DOCUMENTO ENTRADA TOTAL PAGTO INTERNACIONAL COFINS (FISCAL)                            ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"665","007","""LP: 665-007""                                                                                       ",CANCELAMENTO DOCUMENTO ENTRADA TOTAL PAGTO INTERNACIONAL PIS (FISCAL)                               ,"""SF1""+CVALTOCHAR(SF1->(RECNO()))                                                                    "
"69A","001","""LP: 69A-001""                                                                                       ",GESTÃO DE CONTRATOS - ENCERRAMENTO DA MEDIÇÃO DEBITO (FISCAL)                                       ,"""CNE""+CVALTOCHAR(CNE->(RECNO()))                                                                    "
"69A","002","""LP: 69A-002""                                                                                       ",GESTÃO DE CONTRATOS - ENCERRAMENTO DA MEDIÇÃO CREDITO (FISCAL)                                      ,"""CNE""+CVALTOCHAR(CNE->(RECNO()))                                                                    "
"69B","001","""LP: 69B-001""                                                                                       ",GESTÃO DE CONTRATOS - ESTORNO DE ENCERRAMENTO DA MEDIÇÃO DEBITO (FISCAL)                            ,"""CNE""+CVALTOCHAR(CNE->(RECNO()))                                                                    "
"69B","002","""LP: 69B-002""                                                                                       ",GESTÃO DE CONTRATOS - ESTORNO DE ENCERRAMENTO DA MEDIÇÃO CREDITO (FISCAL)                           ,"""CNE""+CVALTOCHAR(CNE->(RECNO()))                                                                    "
"810","001","""LP: 810-001""                                                                                       ",ATIVO FIXO - BAIXA AQUISICAO BEM DESPESAS (DOAÇÃO/INSERVIVEL/PERDAS) - DEBITO (FISCAL)              ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
"810","002","""LP: 810-002""                                                                                       ",ATIVO FIXO - BAIXA AQUISICAO BEM DEPREC. ACUMULADA (DOAÇÃO/INSERVIVEL/PERDAS) - DEBITO (FISCAL)     ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
"814","001","""LP: 814-001""                                                                                       ",ATIVO FIXO - CANCELAMENTO BAIXA AQUISICAO BEM DESPESAS (DOAÇÃO/INSERVIVEL/PERDAS) - DEBITO (FISCAL) ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
"814","002","""LP: 814-002""                                                                                       ",ATIVO FIXO - CANCELAMENTO BAIXA AQUISICAO BEM DEPREC. ACUMULADA (DOAÇÃO/INSERVIVEL/PERDAS) - DEBITO ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
"820","001","""LP: 820-001""                                                                                       ",ATIVO FIXO CALCULO DA DEPRECIACAO (FISCAL)                                                          ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
"825","001","""LP: 825-001""                                                                                       ",ESTORNO ATIVO FIXO DESCALCULO DEPRECIACAO (FISCAL)                                                  ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
"827","001","""LP:827-001""                                                                                        ",AJUSTES CONTABIL                                                                                    ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
"831","001","""LP: 831-001""                                                                                       ",ATIVO FIXO - TRANSFERENCIA CONTABIL ENTRE FILIAIS (ORIGEM)                                          ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
"831","002","""LP: 831-002""                                                                                       ",ATIVO FIXO - TRANSFERENCIA CONTABIL ENTRE FILIAIS (ORIGEM) - DEPRECIACAO                            ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
"832","001","""LP: 832-001""                                                                                       ",ATIVO FIXO - TRANSFERENCIA CONTABIL ENTRE FILIAIS (DESTINO)                                         ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
"832","002","""LP: 832-002""                                                                                       ",ATIVO FIXO - TRANSFERENCIA CONTABIL ENTRE FILIAIS (DESTINO) - DEPRECIACAO                           ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
X01,"001","""LP: X01-001""                                                                                       ",CONTABILIZAÇÃO CLASSIFICAÇÃO DO BEM DO ATIVO FIXO (FISCAL)                                          ,"""SN4""+CVALTOCHAR(SN4->(RECNO()))                                                                    "
