"CT5_LANPAD","CT5_SEQUEN","CT5_ORIGEM","CT5_DESC","CT5_XDOC"
"520","001","""LP: 520-001""                                                                                       ",CONTAS A RECEBER - BAIXAS DE TITULOS EM CARTEIRA - BANCO (FISCAL)                                   ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"520","002","""LP: 520-002""                                                                                       ",CONTAS A RECEBER - BAIXAS DE TITULOS EM CARTEIRA - DESCONTO (FISCAL)                                ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"520","003","""LP: 520-003""                                                                                       ",CONTAS A RECEBER - BAIXAS DE TITULOS EM CARTEIRA - JUROS/MULTA (FISCAL)                             ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"520","005","""LP: 520-005""                                                                                       ",CONTAS A RECEBER - BAIXAS DE TITULOS EM CARTEIRA - CLIENTE (FISCAL)                                 ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"520","006","""LP: 520-006""                                                                                       ",CONTAS A RECEBER - BAIXAS DE TITULOS EM CARTEIRA - SEM MOV. BANCO (FISCAL)                          ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"521","001","""LP: 521-001""                                                                                       ",CONTAS A RECEBER - BAIXAS DE TITULOS COBRANCA SIMPLES - CLIENTE (FISCAL)                            ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"521","002","""LP: 521-002""                                                                                       ",CONTAS A RECEBER - BAIXAS DE TITULOS COBRANCA SIMPLES - MULTA/JUROS (FISCAL)                        ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"521","003","""LP: 521-003""                                                                                       ",CONTAS A RECEBER - BAIXAS DE TITULOS COBRANCA SIMPLES - DESCTO (FISCAL)                             ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"521","005","""LP: 521-005""                                                                                       ",CONTAS A RECEBER - BAIXAS DE TITULOS COBRANCA SIMPLES - BANCO (FISCAL)                              ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"527","001","""LP: 527-001""                                                                                       ",CONTAS A RECEBER - CANC.BAIXAS DE TITULOS EM CARTEIRA - BANCO (FISCAL)                              ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"527","002","""LP: 527-002""                                                                                       ",CONTAS A RECEBER - CANC.BAIXAS DE TITULOS EM CARTEIRA - DESCONTO (FISCAL)                           ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"527","003","""LP: 527-003""                                                                                       ",CONTAS A RECEBER - CANC.BAIXAS DE TITULOS EM CARTEIRA - JUROS/MULTA (FISCAL)                        ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"527","005","""LP: 527-005""                                                                                       ",CONTAS A RECEBER - CANC.BAIXAS DE TITULOS EM CARTEIRA - CLIENTE (FISCAL)                            ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"527","006","""LP: 527-006""                                                                                       ",CONTAS A RECEBER - CANC.BAIXAS DE TITULOS EM CARTEIRA - CLIENTE (FISCAL)                            ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"530","001","""LP: 530-001""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - FORNECEDOR (FISCAL)                                                   ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"530","002","""LP: 530-002""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - JUROS (FISCAL)                                                        ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"530","003","""LP: 530-003""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - MULTA (FISCAL)                                                        ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"530","004","""LP: 530-004""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - DESCTO (FISCAL)                                                       ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"530","005","""LP: 530-005""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - BANCO (FISCAL)                                                        ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"530","006","""LP: 530-006""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - PA (FISCAL)                                                           ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"530","007","""LP: 530-007""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - RETENCAO PIS (FISCAL)                                                 ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"530","008","""LP: 530-008""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - RETENCAO COFINS (FISCAL)                                              ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"530","009","""LP: 530-009""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - RETENCAO CSLL (FISCAL)                                                ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"530","010","""LP: 530-010""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - IOF S/ REMESSA EXTERIOR (FISCAL)                                      ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"530","011","""LP: 530-011""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - TAXAS S/ REMESSA EXTERIOR - DEBITO (FISCAL)                           ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"530","012","""LP: 530-012""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - TAXAS S/ REMESSA EXTERIOR - CREDITO (FISCAL)                          ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"530","013","""LP: 530-013""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - PTC (FISCAL)                                                          ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"530","015","""LP: 530-015""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - RETENCAO IRF (FISCAL)                                                 ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"530","016","""LP: 530-006""                                                                                       ",BAIXA CONTAS A PAGAR MANUAL - PA (FISCAL)  - CORREÇÃO MONETARIA                                     ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"531","001","""LP: 531-001""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - FORNECEDOR (FISCAL)                                      ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"531","002","""LP: 531-002""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - JUROS (FISCAL)                                           ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"531","003","""LP: 531-003""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - MULTA (FISCAL)                                           ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"531","004","""LP: 531-004""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - DESCTO (FISCAL)                                          ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"531","005","""LP: 531-005""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - BANCO (FISCAL)                                           ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"531","006","""LP: 531-006""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - PA (FISCAL)                                              ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"531","007","""LP: 531-007""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - RETENCAO PIS (FISCAL)                                    ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"531","008","""LP: 531-008""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - RETENCAO COFINS (FISCAL)                                 ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"531","009","""LP: 531-009""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - RETENCAO CSLL (FISCAL)                                   ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"531","010","""LP: 531-010""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - IOF S/ REMESSA EXTERIOR (FISCAL)                         ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"531","011","""LP: 531-011""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - TAXAS S/ REMESSA EXTERIOR - DEBITO (FISCAL)              ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"531","012","""LP: 531-012""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - TAXAS S/ REMESSA EXTERIOR - CREDITO - (FISCAL)           ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
