"AKC_PROCES","AKC_ITEM","AKC_SEQ","AKC_XDOC"
"900017","01","03","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900017","06","05","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900017","06","06","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900017","05","01","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900017","02","04","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900017","05","02","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900017","02","05","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900017","05","03","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"000006","01","30","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","14","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","32","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","33","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","01","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","34","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","02","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","03","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","36","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","04","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","05","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","22","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","23","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","24","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","10","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","26","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","11","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","27","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","12","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","28","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000005","02","13","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"900016","01","02","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"000004","07","01","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","07","02","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000355","02","04","""CNE""+CVALTOCHAR(CNE->(RECNO()))                                                                    "
"900016","01","01","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"000359","02","18","""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"000359","02","19","""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"000359","02","20","""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"000359","02","21","""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"000004","01","13","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","07","07","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","01","14","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","07","08","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","07","09","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"900019","01","38","""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"000004","01","17","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","01","18","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000004","01","19","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000001","01","38","""SE1""+CVALTOCHAR(SE1->(RECNO()))                                                                    "
"900026","01","17","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900025","01","04","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900025","01","15","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900025","01","02","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900030","01","07","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"900025","01","08","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900030","01","09","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"900030","01","10","""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"900026","01","02","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900025","01","26","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900025","01","21","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900025","01","22","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900025","01","23","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900025","01","24","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900025","01","25","""CT2""+CVALTOCHAR(CT2->(RECNO()))                                                                    "
"900008","02","04","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900008","03","01","""SE2""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"900008","03","02","""SE2""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"000054","01","02","""SD1""+CVALTOCHAR(SD1->(RECNO()))                                                                    "
"900008","01","01","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900010","01","02","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900008","01","02","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900008","01","04","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900008","02","01","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900008","02","02","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900008","02","03","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900023","01","27","""ZBE""+CVALTOCHAR(ZBE->(RECNO()))                                                                    "
"900023","01","28","""ZBE""+CVALTOCHAR(ZBE->(RECNO()))                                                                    "
"900027","01","12","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900023","01","29","""ZBE""+CVALTOCHAR(ZBE->(RECNO()))                                                                    "
"900027","01","14","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900032","01","02","""ZZS""+CVALTOCHAR(ZZS->(RECNO()))                                                                    "
"900027","01","16","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900029","01","02","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"900027","01","08","""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"000101","01","04","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000101","01","05","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000101","01","06","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000101","01","07","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000101","01","09","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000101","01","10","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000101","01","11","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000101","01","01","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"000101","01","03","""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
