reason_signature;candidatos;selecionados;taxa_selecao
cc|classe_valor|doc_extra|doc_hist_1|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;421;119;28.27
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|proc_hist_competencia|proc_hist_conta|proc_hist_data_exata|proc_hist_data_valor_exato|texto|valor;390;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;372;9;2.42
texto|tokens|valor;372;1;0.27
competencia|doc_extra|doc_hist_1|ent05_conta|valor|xdoc|xdoc_at01cr;367;354;96.46
competencia|doc_extra|doc_hist_1|valor|xdoc|xdoc_at01cr;367;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_2|insight_classe_valor_competencia|tokens|valor;337;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;327;109;33.33
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;315;105;33.33
competencia|texto|tokens|valor;314;5;1.59
cc|classe_valor|texto|valor;291;0;0.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|texto|tokens|valor|xdoc|xdoc_at01cr;260;55;21.15
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|ent05_conta|tokens|valor;253;0;0.0
cc|chave_estruturada|competencia|doc_extra|tokens|valor;244;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|insight_classe_valor_competencia|texto|valor;243;0;0.0
akd_xdoc_ct2_recno|cc|competencia|competencia_conta_cc|ent05_conta|texto|tokens|valor;239;239;100.0
cc|competencia|doc_extra|doc_hist_2|insight_xnumap_cc|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;218;103;47.25
cc|chave_estruturada|competencia|doc_extra|doc_hist_2|insight_xnumap_cc|insight_xnumap_valor|tokens|valor|xnumap_at04db|xnumap_xdocum;213;8;3.76
cc|texto|tokens|valor;208;0;0.0
competencia|ent05_conta|tokens|valor;185;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|insight_classe_valor_competencia|valor|xdoc|xdoc_at01cr;175;175;100.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|insight_classe_valor_competencia|valor|xdoc|xdoc_at01cr;175;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|insight_classe_valor_competencia|valor|xdoc|xdoc_at01cr;169;169;100.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|valor|xdoc|xdoc_at01cr;169;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|tokens|valor|xdoc|xdoc_at01cr;169;84;49.7
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|insight_xnumap_cc|insight_xnumap_valor|tokens|valor|xnumap_at04db|xnumap_xdocum;168;55;32.74
cc|competencia|competencia_conta_cc|ent05_conta|valor;167;0;0.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|tokens|valor|xdoc|xdoc_at01cr;166;83;50.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_2|ent05_conta|insight_classe_valor_competencia|tokens|valor;153;152;99.35
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|texto|tokens|valor|xdoc|xdoc_at01cr;148;50;33.78
cc|competencia|doc_extra|doc_hist_1|insight_xnumap_cc|insight_xnumap_valor|tokens|valor|xnumap_at04db|xnumap_xdocum;148;51;34.46
doc_hist_1|texto|tokens|valor;146;1;0.68
chave_estruturada|competencia|doc_extra|doc_hist_2|texto|tokens|valor;145;24;16.55
cc|classe_valor|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|tokens|valor|xnumap_at04db|xnumap_xdocum;144;4;2.78
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;144;143;99.31
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|ent05_conta|insight_classe_valor_competencia|tokens|valor|xdoc|xdoc_at01cr;141;47;33.33
cc|competencia|competencia_conta_cc|ent05_conta|proc_hist_competencia|proc_hist_conta|proc_hist_data_exata|proc_hist_data_valor_exato|texto|tokens|valor;140;0;0.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|tokens|valor;136;0;0.0
cc|competencia|texto|valor;135;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|texto|tokens|valor|xdoc|xdoc_at01cr;134;62;46.27
chave_estruturada|competencia|doc_extra|doc_hist_1|texto|tokens|valor;128;11;8.59
