key;akd_rows;ct2_rows;akd_total;ct2_total;status
SE2530435;1;2;6.10;12.20;ambiguo
SE2530436;1;2;70.60;141.20;ambiguo
SE2530437;1;2;6.10;12.20;ambiguo
SE2530438;1;2;6.10;12.20;ambiguo
SE2530439;1;2;6.10;12.20;ambiguo
SE2530689;1;2;6.10;12.20;ambiguo
SE2530749;1;2;6.10;12.20;ambiguo
SE2530750;1;2;44.40;88.80;ambiguo
SE2530751;1;2;15.95;31.90;ambiguo
SE2530752;1;2;235.25;470.50;ambiguo
SE2530754;1;2;135.30;270.60;ambiguo
SE2530755;1;2;87.90;175.80;ambiguo
SE2531896;1;2;6.10;12.20;ambiguo
SE2531897;1;2;6.10;12.20;ambiguo
SE2531900;1;2;6.10;12.20;ambiguo
SE2531901;1;2;6.10;12.20;ambiguo
SE2531919;1;2;218.85;437.70;ambiguo
SE2531923;1;2;156.45;312.90;ambiguo
SE2531927;1;2;13.40;26.80;ambiguo
SE2531932;1;2;177.20;354.40;ambiguo
SE2531937;1;2;11.40;22.80;ambiguo
SE2531941;1;2;59.60;119.20;ambiguo
SE2532240;1;2;20.00;40.00;ambiguo
SE2532241;1;2;99.00;198.00;ambiguo
SE2532242;3;2;0.24;0.16;ambiguo
SE2532243;3;2;6.18;4.12;ambiguo
SE2532244;3;2;4.14;2.76;ambiguo
SE2532245;3;2;0.24;0.16;ambiguo
SE2532248;3;2;1844765.61;1229843.74;ambiguo
SE2532252;3;2;0.54;0.36;ambiguo
SE2532255;1;2;87.00;174.00;ambiguo
SE2532287;1;2;6.10;12.20;ambiguo
SE2532288;1;2;6.10;12.20;ambiguo
SE2532289;1;2;6.10;12.20;ambiguo
SE2532290;1;2;6.10;12.20;ambiguo
SE2532291;1;2;2360.10;4720.20;ambiguo
SE2532292;1;2;6.10;12.20;ambiguo
SE2532293;1;2;85.57;171.14;ambiguo
SE2532314;1;2;375.35;750.70;ambiguo
SE2532598;3;2;0.27;0.18;ambiguo
SE2532833;3;2;101.97;67.98;ambiguo
SE2533290;3;2;2961.63;1974.42;ambiguo
SE2533291;1;2;69.00;138.00;ambiguo
SE2533404;3;2;397.08;264.72;ambiguo
SE2533416;1;2;1039.90;2079.80;ambiguo
SE2533451;1;2;52.87;105.74;ambiguo
SE2533455;1;2;156.91;313.82;ambiguo
SE2533489;3;2;0.99;3.44;ambiguo
SE2534475;3;2;1144822.47;763214.98;ambiguo
SE5239621;3;2;2972634.24;1981756.16;ambiguo
SE5239622;3;2;405936.18;270624.12;ambiguo
SE5239623;3;2;6196285.32;4130856.88;ambiguo
SE5239624;3;2;757522.11;505014.74;ambiguo
SE5239625;3;2;3115299.48;2076866.32;ambiguo
SE5239626;3;2;6910731.69;4607154.46;ambiguo
SE5239627;3;2;379637.04;253091.36;ambiguo
SE5239628;3;2;1989361.98;1326241.32;ambiguo
SE5239629;3;2;467206.83;311471.22;ambiguo
SE5239630;3;2;463139.13;308759.42;ambiguo
SE5239631;3;2;2610636.45;1740424.30;ambiguo
SE5239632;3;2;165895.68;110597.12;ambiguo
SE5239732;3;2;664914.45;443276.30;ambiguo
SE5239733;3;2;5006569.83;3337713.22;ambiguo
SE5239734;3;2;7926193.80;5284129.20;ambiguo
SE5239735;3;2;1638193.98;1092129.32;ambiguo
SE5239736;3;2;1456198.23;970798.82;ambiguo
SE5239737;3;2;648403.59;432269.06;ambiguo
SE5239740;3;2;11827176.96;7884784.64;ambiguo
SE5239741;3;2;2711585.76;1807723.84;ambiguo
SE5239768;2;2;937.12;937.12;forte_grupo
SE5239769;2;2;153.40;153.40;forte_grupo
SE5239770;2;2;153.40;153.40;forte_grupo
SE5240379;4;2;253399014.24;249598029.02;ambiguo
SE5240381;4;2;775360.88;763730.46;ambiguo
SE5241077;3;2;23304.63;15536.42;ambiguo
SE5241078;3;2;2328578.85;1552385.90;ambiguo
SE5241092;3;2;1166757.06;777838.04;ambiguo
SE5241128;2;2;12.20;12.20;forte_grupo
SE5241129;2;2;165.60;165.60;forte_grupo
SE5241130;2;2;22.80;22.80;forte_grupo
SE5241131;2;2;26.80;26.80;forte_grupo
SE5241132;2;2;26.80;26.80;forte_grupo
SE5241135;3;3;360.00;1900.00;ambiguo
SE5241140;2;2;12.20;12.20;forte_grupo
SE5241153;2;2;12.20;12.20;forte_grupo
SE5241154;2;2;10.84;10.84;forte_grupo
SE5241170;2;2;158.00;158.00;forte_grupo
SE5241363;3;2;2601.06;1734.04;ambiguo
SE5241434;3;2;877923.66;585282.44;ambiguo
SE5241435;3;2;1900783.50;1267189.00;ambiguo
SE5241475;2;2;750.70;750.70;forte_grupo
SE5241755;2;2;12.20;12.20;forte_grupo
SE5241756;2;2;3711.10;3711.10;forte_grupo
SE5241757;2;2;108.00;108.00;forte_grupo
SE5241758;2;2;31.80;31.80;forte_grupo
SE5241784;3;3;0.18;249059.70;ambiguo
SE5242101;2;2;6768.96;6768.96;forte_grupo
SE5242102;3;2;1310.76;873.84;ambiguo
SE5242103;2;2;12.20;12.20;forte_grupo
SE5242104;2;2;12.20;12.20;forte_grupo
SE5242109;3;2;987.00;658.00;ambiguo
SE5242110;3;2;1200.00;800.00;ambiguo
SE5242111;3;2;987.00;658.00;ambiguo
SE5242112;3;2;1535.04;1023.36;ambiguo
SE5242117;3;2;1200.00;800.00;ambiguo
SE5242118;3;2;3948.00;2632.00;ambiguo
SE5242119;3;2;1867.14;1244.76;ambiguo
SE5242120;3;2;987.00;658.00;ambiguo
SE5242121;3;2;1302.99;868.66;ambiguo
SE5242122;3;2;2528.73;1685.82;ambiguo
SE5242161;2;2;12.20;12.20;forte_grupo
SE5242162;2;2;12.20;12.20;forte_grupo
SE5242163;2;2;12.20;12.20;forte_grupo
SE5242164;2;2;12.20;12.20;forte_grupo
SE5242424;3;2;1724288.46;1149525.64;ambiguo
SE5242425;3;2;5391165.54;3594110.36;ambiguo
SE5242435;3;2;792983.28;528655.52;ambiguo
SE5242440;2;2;12.20;12.20;forte_grupo
SE5242441;2;2;12.20;12.20;forte_grupo
SE5242561;2;2;40.00;40.00;forte_grupo
SE5242562;2;2;198.00;198.00;forte_grupo
SE5242704;3;2;202070.52;134713.68;ambiguo
SE5242827;2;2;181.80;181.80;forte_grupo
SE5242828;2;2;26.80;26.80;forte_grupo
SE5242829;2;2;26.80;26.80;forte_grupo
SE5242830;2;2;362.20;362.20;forte_grupo
SE5242831;2;2;101.60;101.60;forte_grupo
SE5242832;2;2;24.40;24.40;forte_grupo
SE5242833;2;2;54.40;54.40;forte_grupo
SE5242834;2;2;119.20;119.20;forte_grupo
SE5242835;2;2;242.50;242.50;forte_grupo
SE5242836;2;2;36.60;36.60;forte_grupo
SE5242860;2;2;12.20;12.20;forte_grupo
SE5242861;2;2;12.20;12.20;forte_grupo
SE5242868;2;2;161.50;161.50;forte_grupo
SE5242869;2;2;3102.96;3102.96;forte_grupo
