rank;akd_key;ct2_key;kind;overlap_values;matched_akd_rows;matched_ct2_rows;akd_filled;ct2_filled;akd_distinct;ct2_distinct;akd_coverage_pct;ct2_coverage_pct;overlap_distinct_pct;one_to_one_values;one_to_one_pct;specificity_pct;max_pair_rows;ambiguity_penalty;score;interpretation;sample_values
1;AKD_XNUMAP;CT2_XDOCUM;token_documental;116;358;270;1086;272;445;117;32.965;99.2647;99.1453;0;0.0;40.9761;60;28.6623;23.294;forte para bloqueio seletivo;0000321051, 0000321269, 0000321282, 0000321283, 0000321284, 0000321285, 0000321286, 0000321287, 0000321289, 0000321290
2;AKD_XDOC;CT2_XDOC;token_documental;67;154;135;2125;650;776;348;7.2471;20.7692;19.2529;0;0.0;36.5176;9;9.3426;9.6657;indicio util, mas com muita ambiguidade;SE2513078, SE2513079, SE2513080, SE2514413, SE2514414, SE2514415, SE2514416, SE2514417, SE2514459, SE2514476
3;AKD_XDOC;CT2_AT01CR;token_documental;67;154;135;2125;650;776;348;7.2471;20.7692;19.2529;0;0.0;36.5176;9;9.3426;9.6657;indicio util, mas com muita ambiguidade;SE2513078, SE2513079, SE2513080, SE2514413, SE2514414, SE2514415, SE2514416, SE2514417, SE2514459, SE2514476
4;DER_HIST_DOCS;DER_HIST_DOCS;token_documental;291;987;1500;5235;2445;1833;601;18.8539;61.3497;48.4193;0;0.0;24.5808;1512;30.0;-0.9114;boa ancora de bloqueio;000000027, 000000087, 000000224, 000000225, 000000320, 000000327, 000000328, 000000648, 000000685, 000000990
5;DER_CHAVE_TOKENS;DER_CHAVE_TOKENS;token_documental;209;833;982;9516;3141;2203;903;8.7537;31.2639;23.1451;0;0.0;23.1505;10914;30.0;-12.4232;indicio util, mas com muita ambiguidade;000000810, 000001033001, 000001486001, 000001487001, 000001488001, 000001489001, 000001490001, 000001491001, 000001492001, 000001493001
