side;column;rows;filled;distinct;duplicate_values;max_frequency;fill_rate;uniqueness_rate;example_values
CT2;CT2_KEY;650;650;300;257;8;100.0;46.1538;011001VLGPE26921FOL202601020000010101, 011001VLTFB02012026B1TRF202601020150380101, 01100100133077364420260102, 0110010013307736420260102, 011001237341601101250IN20260102
CT2;CT2_SEGOFI;650;0;0;0;0;0.0;0.0;
CT2;CT2_DTCV3;650;650;32;32;134;100.0;4.9231;20260102, 20260105, 20260109, 20260113, 20260106
CT2;CT2_SEQIDX;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR05;650;0;0;0;0;0.0;0.0;
CT2;CT2_CRITER;650;0;0;0;0;0.0;0.0;
CT2;CT2_CONFST;650;0;0;0;0;0.0;0.0;
CT2;CT2_OBSCNF;650;0;0;0;0;0.0;0.0;
CT2;CT2_USRCNF;650;0;0;0;0;0.0;0.0;
CT2;CT2_MLTSLD;650;0;0;0;0;0.0;0.0;
CT2;CT2_CTLSLD;650;0;0;0;0;0.0;0.0;
CT2;CT2_DTCONF;650;0;0;0;0;0.0;0.0;
CT2;CT2_HRCONF;650;0;0;0;0;0.0;0.0;
CT2;CT2_CODPAR;650;0;0;0;0;0.0;0.0;
CT2;CT2_MOEFDB;650;0;0;0;0;0.0;0.0;
CT2;CT2_MOEFCR;650;0;0;0;0;0.0;0.0;
CT2;CT2_USERGI;650;650;45;45;122;100.0;6.9231;0050402, 0740104, 0740105, 005040, 0430402
CT2;CT2_USERGA;650;509;44;44;122;78.3077;8.6444;0050402, 0740104, 0740105, 005040, 0430402
CT2;CT2_NODIA;650;0;0;0;0;0.0;0.0;
CT2;CT2_DIACTB;650;0;0;0;0;0.0;0.0;
CT2;CT2_AT01DB;650;0;0;0;0;0.0;0.0;
CT2;CT2_AT01CR;650;650;348;231;6;100.0;53.5385;SE5240581, SE5241128, SE5241138, SE5241139, SE5241177
CT2;CT2_AT02DB;650;0;0;0;0;0.0;0.0;
CT2;CT2_AT02CR;650;0;0;0;0;0.0;0.0;
CT2;CT2_AT03DB;650;0;0;0;0;0.0;0.0;
CT2;CT2_AT03CR;650;0;0;0;0;0.0;0.0;
CT2;CT2_LANCSU;650;0;0;0;0;0.0;0.0;
CT2;CT2_GRPDIA;650;0;0;0;0;0.0;0.0;
CT2;CT2_LANC;650;0;0;0;0;0.0;0.0;
CT2;CT2_CODCLI;650;0;0;0;0;0.0;0.0;
CT2;CT2_CODFOR;650;0;0;0;0;0.0;0.0;
CT2;CT2_AT04DB;650;272;117;117;6;41.8462;43.0147;0000321394, 0000321339, 0000321448, 0000321331, 0000321282
CT2;CT2_AT04CR;650;0;0;0;0;0.0;0.0;
CT2;CT2_CTRLSD;650;0;0;0;0;0.0;0.0;
CT2;CT2_EC05DB;650;0;0;0;0;0.0;0.0;
CT2;CT2_EC05CR;650;0;0;0;0;0.0;0.0;
CT2;CT2_EC06DB;650;0;0;0;0;0.0;0.0;
CT2;CT2_EC06CR;650;0;0;0;0;0.0;0.0;
CT2;CT2_EC07DB;650;0;0;0;0;0.0;0.0;
CT2;CT2_EC07CR;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR06;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR07;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR08;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR09;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR10;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR11;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR12;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR13;650;0;0;0;0;0.0;0.0;
CT2;CT2_XTPDES;650;0;0;0;0;0.0;0.0;
CT2;CT2_XDOCUM;650;272;117;117;6;41.8462;43.0147;0000321394, 0000321339, 0000321448, 0000321331, 0000321282
CT2;CT2_XIMORC;650;0;0;0;0;0.0;0.0;
CT2;D_E_L_E_T_;650;0;0;0;0;0.0;0.0;
CT2;R_E_C_N_O_;650;650;650;0;1;100.0;100.0;2067839, 2067840, 2068155, 2068156, 2068190
CT2;R_E_C_D_E_L_;650;0;0;0;0;0.0;0.0;
CT2;CT2_XVLR02;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR14;650;0;0;0;0;0.0;0.0;
CT2;CT2_VLR15;650;0;0;0;0;0.0;0.0;
CT2;CT2_ESTCAN;650;0;0;0;0;0.0;0.0;
CT2;CT2_IDCONC;650;0;0;0;0;0.0;0.0;
CT2;CT2_INCONS;650;0;0;0;0;0.0;0.0;
CT2;CT2_PROCES;650;0;0;0;0;0.0;0.0;
CT2;CT2_INCDET;650;0;0;0;0;0.0;0.0;
CT2;CT2_XDOC;650;650;348;231;6;100.0;53.5385;SE5240581, SE5241128, SE5241138, SE5241139, SE5241177
CT2;CT2_XNUMCT;650;154;18;18;36;23.6923;11.6883;05012026, 02012026, 06012026, 07012026, 09012026
CT2;CT2_MSUIDT;650;683;682;1;2;105.0769;99.8536;BX89XBEXD9XC4PWAXB8AX87EXB4YQU, BXD3X9FX17X99GX88XB8XB6X89XADXF3X19XA9XCF, BXA8XA0UX02BJXDCXA7XA3XD6XABUX06X96XF6, BXB8X11X8BX98IXEBDWXAEXB7XE3X0EXE0X9CX82XEE, BX90JXCCX1CX04KIX81XA8XA5XD6X1DXC4
CT2;CT2_VLR16;650;0;0;0;0;0.0;0.0;
CT2;DER_VALOR;650;650;280;218;24;100.0;43.0769;1215847, 610, 1215473, 374, 11281
CT2;DER_DATA;650;650;32;32;134;100.0;4.9231;20260102, 20260105, 20260109, 20260113, 20260106
CT2;DER_MES;650;650;3;3;596;100.0;0.4615;202601, 202602, 202603
CT2;DER_HIST_DOCS;650;2445;601;596;72;376.1538;24.5808;2026, 26921, 26921AG, JAN2026, 02012026
CT2;DER_CHAVE_TOKENS;650;3141;903;893;102;483.2308;28.7488;011001VLGPE26921, 202601020000010101, 26921, FOL202601020000010101, VLGPE26921
CT2;DER_TEXTO_BUSCA;650;650;401;247;4;100.0;61.6923;SE5240581SE5240581011001VLGPE26921FOL202601020000010101PGTOSTITULO26921AGNCIABRASILEIRADEPROMOODEEXPORTAOEINVESTIMENTOSLQUIDODEFERIASCOMPETNCIAJAN2026PERODOS4RAPHAELSODRECITTADINO, SE5241128SE5241128011001VLTFB02012026B1TRF202601020150380101TAXASSREMESSAEXTERIORCFDOC02012026BANCODOBRASILSATARIFABANCARIA7364, SE5241138SE524113801100100133077364420260102RESGATEBBRENDEFACIL73644RPBANCO001CC73644AG3307, SE5241139SE52411390110010013307736420260102RESGATEBBRENDEFACIL73644RPBANCO001CC7364AG3307, SE5241177SE5241177011001237341601101250IN20260102RESGATEBRADESCOINVESTFACILPBANCO237CC01101250INAG3416
