rank;akd_key;ct2_key;kind;overlap_values;matched_akd_rows;matched_ct2_rows;akd_filled;ct2_filled;akd_distinct;ct2_distinct;akd_coverage_pct;ct2_coverage_pct;overlap_distinct_pct;one_to_one_values;one_to_one_pct;specificity_pct;max_pair_rows;ambiguity_penalty;score;interpretation;sample_values
19;AKD_XNUMAP+DER_DATA;CT2_AT04DB+CT2_DATA;chave_composta;118;354;270;1086;272;449;119;32.5967;99.2647;99.1597;0;0.0;41.3444;42;20.1924;31.8221;forte para bloqueio seletivo;0000321051||20260113, 0000321269||20260107, 0000321282||20260107, 0000321283||20260107, 0000321284||20260107, 0000321285||20260107, 0000321286||20260107, 0000321287||20260107, 0000321289||20260107, 0000321290||20260107
20;AKD_XNUMAP+DER_DATA;CT2_AT04DB+CT2_DTCV3;chave_composta;118;354;270;1086;272;449;119;32.5967;99.2647;99.1597;0;0.0;41.3444;42;20.1924;31.8221;forte para bloqueio seletivo;0000321051||20260113, 0000321269||20260107, 0000321282||20260107, 0000321283||20260107, 0000321284||20260107, 0000321285||20260107, 0000321286||20260107, 0000321287||20260107, 0000321289||20260107, 0000321290||20260107
21;AKD_XNUMAP+DER_DATA;CT2_AT04DB+DER_DATA;chave_composta;118;354;270;1086;272;449;119;32.5967;99.2647;99.1597;0;0.0;41.3444;42;20.1924;31.8221;forte para bloqueio seletivo;0000321051||20260113, 0000321269||20260107, 0000321282||20260107, 0000321283||20260107, 0000321284||20260107, 0000321285||20260107, 0000321286||20260107, 0000321287||20260107, 0000321289||20260107, 0000321290||20260107
22;AKD_XNUMAP+AKD_DATA;CT2_XDOCUM+CT2_DATA;chave_composta;118;354;270;1086;272;449;119;32.5967;99.2647;99.1597;0;0.0;41.3444;42;20.1924;31.8221;forte para bloqueio seletivo;0000321051||20260113, 0000321269||20260107, 0000321282||20260107, 0000321283||20260107, 0000321284||20260107, 0000321285||20260107, 0000321286||20260107, 0000321287||20260107, 0000321289||20260107, 0000321290||20260107
23;AKD_XNUMAP+AKD_DATA;CT2_XDOCUM+CT2_DTCV3;chave_composta;118;354;270;1086;272;449;119;32.5967;99.2647;99.1597;0;0.0;41.3444;42;20.1924;31.8221;forte para bloqueio seletivo;0000321051||20260113, 0000321269||20260107, 0000321282||20260107, 0000321283||20260107, 0000321284||20260107, 0000321285||20260107, 0000321286||20260107, 0000321287||20260107, 0000321289||20260107, 0000321290||20260107
24;AKD_XNUMAP+AKD_DATA;CT2_XDOCUM+DER_DATA;chave_composta;118;354;270;1086;272;449;119;32.5967;99.2647;99.1597;0;0.0;41.3444;42;20.1924;31.8221;forte para bloqueio seletivo;0000321051||20260113, 0000321269||20260107, 0000321282||20260107, 0000321283||20260107, 0000321284||20260107, 0000321285||20260107, 0000321286||20260107, 0000321287||20260107, 0000321289||20260107, 0000321290||20260107
25;AKD_XNUMAP+DER_DATA;CT2_XDOCUM+CT2_DATA;chave_composta;118;354;270;1086;272;449;119;32.5967;99.2647;99.1597;0;0.0;41.3444;42;20.1924;31.8221;forte para bloqueio seletivo;0000321051||20260113, 0000321269||20260107, 0000321282||20260107, 0000321283||20260107, 0000321284||20260107, 0000321285||20260107, 0000321286||20260107, 0000321287||20260107, 0000321289||20260107, 0000321290||20260107
26;AKD_XNUMAP+DER_DATA;CT2_XDOCUM+CT2_DTCV3;chave_composta;118;354;270;1086;272;449;119;32.5967;99.2647;99.1597;0;0.0;41.3444;42;20.1924;31.8221;forte para bloqueio seletivo;0000321051||20260113, 0000321269||20260107, 0000321282||20260107, 0000321283||20260107, 0000321284||20260107, 0000321285||20260107, 0000321286||20260107, 0000321287||20260107, 0000321289||20260107, 0000321290||20260107
27;AKD_XNUMAP+DER_DATA;CT2_XDOCUM+DER_DATA;chave_composta;118;354;270;1086;272;449;119;32.5967;99.2647;99.1597;0;0.0;41.3444;42;20.1924;31.8221;forte para bloqueio seletivo;0000321051||20260113, 0000321269||20260107, 0000321282||20260107, 0000321283||20260107, 0000321284||20260107, 0000321285||20260107, 0000321286||20260107, 0000321287||20260107, 0000321289||20260107, 0000321290||20260107
28;AKD_CLVLR+AKD_VALOR1;CT2_CLVLDB+DER_VALOR;chave_composta;74;128;78;2116;140;645;134;6.0491;55.7143;55.2239;52;70.2703;30.482;12;17.4756;26.0324;forte para bloqueio seletivo;00000000000000002601||365615, 00000000000000002808||358112, 00000000000000002809||1522402, 00000000000000002810||2936218, 00000000000000002877||2840958, 00000000000000003102||2482908, 00000000000000003103||9345679, 00000000000000003104||8601529, 00000000000000003106||14309626, 00000000000000003109||9274237
29;AKD_XNUMAP+AKD_FILORI;CT2_AT04DB+CT2_FILIAL;chave_composta;116;358;270;1065;272;444;117;33.615;99.2647;99.1453;0;0.0;41.6901;60;28.6623;23.6057;forte para bloqueio seletivo;0000321051||011001, 0000321269||011001, 0000321282||011001, 0000321283||011001, 0000321284||011001, 0000321285||011001, 0000321286||011001, 0000321287||011001, 0000321289||011001, 0000321290||011001
30;AKD_XNUMAP+AKD_FILORI;CT2_AT04DB+CT2_FILORI;chave_composta;116;358;270;1065;272;444;117;33.615;99.2647;99.1453;0;0.0;41.6901;60;28.6623;23.6057;forte para bloqueio seletivo;0000321051||011001, 0000321269||011001, 0000321282||011001, 0000321283||011001, 0000321284||011001, 0000321285||011001, 0000321286||011001, 0000321287||011001, 0000321289||011001, 0000321290||011001
31;AKD_XNUMAP+AKD_FILORI;CT2_XDOCUM+CT2_FILIAL;chave_composta;116;358;270;1065;272;444;117;33.615;99.2647;99.1453;0;0.0;41.6901;60;28.6623;23.6057;forte para bloqueio seletivo;0000321051||011001, 0000321269||011001, 0000321282||011001, 0000321283||011001, 0000321284||011001, 0000321285||011001, 0000321286||011001, 0000321287||011001, 0000321289||011001, 0000321290||011001
32;AKD_XNUMAP+AKD_FILORI;CT2_XDOCUM+CT2_FILORI;chave_composta;116;358;270;1065;272;444;117;33.615;99.2647;99.1453;0;0.0;41.6901;60;28.6623;23.6057;forte para bloqueio seletivo;0000321051||011001, 0000321269||011001, 0000321282||011001, 0000321283||011001, 0000321284||011001, 0000321285||011001, 0000321286||011001, 0000321287||011001, 0000321289||011001, 0000321290||011001
33;AKD_CC+AKD_VALOR1;CT2_CCD+DER_VALOR;chave_composta;87;168;96;2116;237;644;202;7.9395;40.5063;43.0693;52;59.7701;30.4348;12;13.6365;23.3287;sinal complementar;06010903||2387412, 06010903||3581117, 06010903||41779704, 06010903||8601529, 06010904||1718965, 06010904||187119, 06010904||2936218, 06010904||395098, 06010904||802021, 06010904||87305
34;AKD_XNUMAP+DER_MES;CT2_AT04DB+DER_MES;chave_composta;116;358;270;1086;272;445;117;32.965;99.2647;99.1453;0;0.0;40.9761;60;28.6623;23.294;forte para bloqueio seletivo;0000321051||202601, 0000321269||202601, 0000321282||202601, 0000321283||202601, 0000321284||202601, 0000321285||202601, 0000321286||202601, 0000321287||202601, 0000321289||202601, 0000321290||202601
35;AKD_XNUMAP+DER_MES;CT2_XDOCUM+DER_MES;chave_composta;116;358;270;1086;272;445;117;32.965;99.2647;99.1453;0;0.0;40.9761;60;28.6623;23.294;forte para bloqueio seletivo;0000321051||202601, 0000321269||202601, 0000321282||202601, 0000321283||202601, 0000321284||202601, 0000321285||202601, 0000321286||202601, 0000321287||202601, 0000321289||202601, 0000321290||202601
36;AKD_XNUMAP+AKD_USERGI;CT2_AT04DB+CT2_USERGI;chave_composta;116;354;270;1086;272;447;117;32.5967;99.2647;99.1453;0;0.0;41.1602;60;28.8462;23.1101;forte para bloqueio seletivo;0000321051||0050404, 0000321269||074010, 0000321282||074010, 0000321283||074010, 0000321284||074010, 0000321285||074010, 0000321286||074010, 0000321287||074010, 0000321289||074010, 0000321290||074010
37;AKD_XNUMAP+AKD_USERGI;CT2_AT04DB+CT2_USERGA;chave_composta;116;354;270;1086;272;447;117;32.5967;99.2647;99.1453;0;0.0;41.1602;60;28.8462;23.1101;forte para bloqueio seletivo;0000321051||0050404, 0000321269||074010, 0000321282||074010, 0000321283||074010, 0000321284||074010, 0000321285||074010, 0000321286||074010, 0000321287||074010, 0000321289||074010, 0000321290||074010
38;AKD_XNUMAP+AKD_USERGI;CT2_XDOCUM+CT2_USERGI;chave_composta;116;354;270;1086;272;447;117;32.5967;99.2647;99.1453;0;0.0;41.1602;60;28.8462;23.1101;forte para bloqueio seletivo;0000321051||0050404, 0000321269||074010, 0000321282||074010, 0000321283||074010, 0000321284||074010, 0000321285||074010, 0000321286||074010, 0000321287||074010, 0000321289||074010, 0000321290||074010
