reason_signature;candidatos;selecionados;taxa_selecao
chave_estruturada|classe_valor|competencia|competencia_classe|competencia_conta_classe|doc_extra|doc_hist_1|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;2;2;100.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;2;2;100.0
cc|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|tokens|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|ent05_conta|tokens|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
cc|classe_valor|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
cc|chave_estruturada|doc_extra|doc_hist_2|tokens|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
chave_estruturada|doc_extra|doc_hist_2|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_2|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
cc|competencia|doc_extra|doc_hist_2|tokens|valor|xnumap_at04db|xnumap_xdocum;2;1;50.0
cc|chave_estruturada|classe_valor|doc_extra|doc_hist_1|valor|xnumap_at04db|xnumap_xdocum;2;1;50.0
chave_estruturada|competencia|doc_extra|doc_hist_1|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
cc|classe_valor|doc_extra|doc_hist_2|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|tokens|valor|xdoc|xdoc_at01cr;2;1;50.0
competencia|doc_extra|doc_hist_1|tokens|valor|xnumap_at04db|xnumap_xdocum;2;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_1|ent05_conta|texto|tokens|valor;2;0;0.0
akd_xdoc_ct2_recno|cc|competencia|competencia_conta_cc|doc_hist_2|ent05_conta|texto|tokens|valor;2;2;100.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|tokens|valor;2;2;100.0
cc|competencia|competencia_conta_cc|doc_hist_2|ent05_conta|texto|tokens|valor;2;0;0.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|valor;2;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_1|valor;2;0;0.0
cc|competencia|doc_hist_1|tokens|valor;2;0;0.0
cc|chave_estruturada|doc_extra|valor;2;0;0.0
ent05_conta|tokens|valor;2;0;0.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;1;1;100.0
cc|chave_estruturada|doc_extra|doc_hist_1|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;1;0;0.0
cc|chave_estruturada|doc_extra|doc_hist_1|valor|xnumap_at04db|xnumap_xdocum;1;0;0.0
competencia|doc_extra|doc_hist_1|valor|xnumap_at04db|xnumap_xdocum;1;0;0.0
doc_extra|doc_hist_1|valor|xnumap_at04db|xnumap_xdocum;1;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_2|ent05_conta|valor;1;0;0.0
akd_xdoc_ct2_recno|cc|competencia|doc_hist_1|texto|tokens|valor;1;1;100.0
akd_xdoc_ct2_recno|cc|competencia|competencia_conta_cc|ent05_conta|tokens|valor;1;1;100.0
cc|competencia|competencia_conta_cc|doc_hist_1|ent05_conta|texto|tokens|valor;1;1;100.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|tokens|valor;1;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_2|valor;1;0;0.0
chave_estruturada|classe_valor|doc_extra|ent05_conta|valor;1;0;0.0
competencia|doc_hist_1|ent05_conta|valor;1;0;0.0
chave_estruturada|classe_valor|doc_extra|valor;1;0;0.0
doc_hist_1|ent05_conta|valor;1;0;0.0
classe_valor|competencia|competencia_classe|valor;1;0;0.0
