reason_signature;candidatos;selecionados;taxa_selecao
cc|competencia|doc_extra|doc_hist_2|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;218;104;47.71
cc|chave_estruturada|competencia|doc_extra|doc_hist_2|tokens|valor|xnumap_at04db|xnumap_xdocum;213;10;4.69
cc|texto|tokens|valor;208;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|valor|xdoc|xdoc_at01cr;175;175;100.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|valor|xdoc|xdoc_at01cr;175;0;0.0
cc|competencia|texto|valor;171;0;0.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|tokens|valor|xnumap_at04db|xnumap_xdocum;170;61;35.88
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|valor|xdoc|xdoc_at01cr;169;169;100.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|valor|xdoc|xdoc_at01cr;169;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|tokens|valor|xdoc|xdoc_at01cr;169;84;49.7
cc|competencia|competencia_conta_cc|ent05_conta|valor;167;0;0.0
competencia|ent05_conta|tokens|valor;167;0;0.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|tokens|valor|xdoc|xdoc_at01cr;166;83;50.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_2|ent05_conta|tokens|valor;165;165;100.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|texto|tokens|valor|xdoc|xdoc_at01cr;148;50;33.78
cc|competencia|doc_extra|doc_hist_1|tokens|valor|xnumap_at04db|xnumap_xdocum;148;67;45.27
